Track name,Artist name,Album,Playlist name,Type,ISRC
"Hot for Teacher - 2015 Remaster","Van Halen","1984 (Remastered)","Favorite Songs","Favorite","USWB11403684"
"Fire in the Night - The Factory Team Mix","Ken Martin","40 Best of Eurobeat","Favorite Songs","Favorite","ITC941500260"
"Insomnia","David Dima","David Dima Eurobeat Hits","Favorite Songs","Favorite","GBSMU7286728"
"Crazy Night - Extended mix","Boys Band","Bratt Sinclaire Eurobeat Style Vol.2","Favorite Songs","Favorite","ITB110000236"
"The Phoenix","Fall Out Boy","Save Rock And Roll","Favorite Songs","Favorite","USUM71302620"
"Synrise","GOOSE","Synrise","Favorite Songs","Favorite","BEV201000001"
"Play With Me","Extreme","Extreme","Favorite Songs","Favorite","USAM18923370"
"Back Hall","Mikko Tarmia","Amnesia: The Dark Descent (Original Game Soundtrack)","Favorite Songs","Favorite","SEYOK2010035"
"Through The Fire And Flames","DragonForce","Inhuman Rampage","Favorite Songs","Favorite","FIUM72000106"
"Without Me","Eminem","The Eminem Show","Favorite Songs","Favorite","USIR10211038"
"Surface","Aero Chord","Surface","Favorite Songs","Favorite","CA6D21000356"
"Boundless","Aero Chord","Boundless","Favorite Songs","Favorite","CA6D21400038"
"The Ecstasy Of Gold - 2004 Remaster","Ennio Morricone","The Good, The Bad And The Ugly [Original Motion Picture Soundtrack / (Remastered & Expanded)]","Favorite Songs","Favorite","USNPD0800979"
"Midnight Madness","The Chemical Brothers","Brotherhood (Deluxe)","Favorite Songs","Favorite","GBAAA0800506"
"Voodoo People (Pendulum Mix)","The Prodigy","Voodoo People / Out of Space","Favorite Songs","Favorite","GBBKS0562618"
"Carry On","ANGRA","Angels Cry / Holy Land","Favorite Songs","Favorite","DEA459805660"
"Minus Celsius","Backyard Babies","Stockholm Syndrome","Favorite Songs","Favorite","SEBMC0378010"
"il vento d'oro","Yugo Kanno","JOJO'S BIZARRE ADVENTURE -Golden Wind O.S.T vol.1 Overture","Favorite Songs","Favorite","JPQ461800540"
"You're Gonna Go Far, Kid","The Offspring","Rise And Fall, Rage And Grace","Favorite Songs","Favorite","USSM10801605"
"Theme of Ken","Capcom Sound Team","Street Fighter V Original Soundtrack","Favorite Songs","Favorite","JPE101600830"
"Cliffs Of Dover - Instrumental","Eric Johnson","Ah Via Musicom","Favorite Songs","Favorite","USCA28900086"
"The Kids Aren't Alright","The Offspring","Americana","Favorite Songs","Favorite","USSM19804363"
"Shoot to Thrill","AC/DC","Back In Black","Favorite Songs","Favorite","AUAP08000042"
"You Really Got Me - 2015 Remaster","Van Halen","Van Halen (Remastered)","Favorite Songs","Favorite","USWB11403670"
"Brother Louie","Modern Talking","Ready For Romance","Favorite Songs","Favorite","DEC738600004"
"Cheri Cheri Lady","Modern Talking","Let's Talk About Love","Favorite Songs","Favorite","DEC738500001"
"Never Gonna Give You Up","Rick Astley","Whenever You Need Somebody","Favorite Songs","Favorite","GBARL9300135"
"Right Now","Van Halen","Best of Volume 1","Favorite Songs","Favorite","USWB19000029"
"La Leyenda del Hada y el Mago - Vivo","Rata Blanca","XX Aniversario En Vivo - Magos, Espadas Y Rosas","Favorite Songs","Favorite","ARF851100058"
"El Reino Olvidado","Rata Blanca","El Reino Olvidado","Favorite Songs","Favorite","ARF850800110"
"Fire Aura","Kid2Will","Living Planet","Favorite Songs","Favorite","ushm21008913"
"~EnV~Heaven Rd. 2 (Ng mix)","Env","~EnV~Heaven Rd. 2 (Ng mix)","Favorite Songs","Favorite","QM42K1798348"
"Lifetime","DJ T3chnic","Lifetime","Favorite Songs","Favorite","TCABT1447346"
"Come & Get It","Krewella","PLAY HARDER REMIX EP","Favorite Songs","Favorite","USQX91202173"
"Take on Me","a-ha","Hunting High and Low","Favorite Songs","Favorite","USWB19901214"
"New Sensation","INXS","Kick (Remastered 2011)","Favorite Songs","Favorite","GBAMX8700009"
"You're My Heart, You're My Soul","Modern Talking","The First & Second Album (30th Anniversary Edition)","Favorite Songs","Favorite","DEC738500015"
"Great Fairy Fountain","Kyle Landry","Great Fairy Fountain","Favorite Songs","Favorite","QMPKX1732924"
"Troposphere","Rom Di Prisco","Cryptidalia","Favorite Songs","Favorite","uscgh1838531"
"Gamma Velorum","Rom Di Prisco","Cryptidalia","Favorite Songs","Favorite","uscgh1838533"
